Sleep Stage,MeanP_Alpha_F4,MedianF_Alpha_F4,MeanF_Alpha_F4,Spectral Edge_Alpha_F4,PeakF_Alpha_F4,MeanP_Beta_F4,MedianF_Beta_F4,MeanF_Beta_F4,Spectral Edge_Beta_F4,PeakF_Beta_F4,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4,MeanP_Gamma_F4,MedianF_Gamma_F4,MeanF_Gamma_F4,Spectral Edge_Gamma_F4,PeakF_Gamma_F4,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4,MeanP_Beta_C4,MedianF_Beta_C4,MeanF_Beta_C4,Spectral Edge_Beta_C4,PeakF_Beta_C4,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4,MeanP_Gamma_C4,MedianF_Gamma_C4,MeanF_Gamma_C4,Spectral Edge_Gamma_C4,PeakF_Gamma_C4,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2,MeanP_Beta_O2,MedianF_Beta_O2,MeanF_Beta_O2,Spectral Edge_Beta_O2,PeakF_Beta_O2,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2,MeanP_Gamma_O2,MedianF_Gamma_O2,MeanF_Gamma_O2,Spectral Edge_Gamma_O2,PeakF_Gamma_O2
Wake,0.00051,8.74146,18.48195,17.48293,8.24195,0.00071,19.73073,29.84585,33.84195,15.98439,0.00121,4.24585,10.48976,7.9922,2.62244,0.01071,1.1239,4.74537,2.62244,1.1239,0.00024,36.21463,43.08293,50.0761,49.95122,0.00041,10.11512,19.3561,18.48195,10.48976,0.00067,19.98049,28.97171,33.21756,16.85854,0.00061,5.24488,12.23805,9.86537,3.87122,0.00353,1.1239,5.49463,2.74732,0.62439,0.00021,34.7161,41.58439,49.95122,49.95122,0.00029,10.98927,20.72976,20.48,10.48976,0.00059,21.10439,29.72098,34.21659,21.22927,0.00039,4.49561,13.48683,10.73951,2.2478,0.00724,0.74927,3.87122,1.99805,0.87415,0.00021,35.21561,42.20878,49.95122,49.95122
Wake,0.0004,10.24,17.48293,16.85854,10.61463,0.00051,17.23317,26.34927,29.34634,19.60585,0.00062,4.37073,12.36293,9.99024,2.8722,0.00539,0.87415,4.49561,2.62244,0.74927,0.00012,34.96585,46.57951,49.95122,49.95122,0.00038,10.36488,17.73268,17.35805,10.11512,0.00052,17.35805,26.34927,28.4722,17.35805,0.00046,5.74439,12.73756,10.73951,3.62146,0.00238,0.99902,5.86927,2.8722,0.74927,0.0001,31.34439,40.83512,49.95122,49.95122,0.00024,10.61463,18.2322,17.85756,10.61463,0.00037,17.98244,27.22341,30.96976,19.48098,0.00025,5.86927,13.61171,11.23902,2.99707,0.00723,0.49951,3.74634,1.24878,0.49951,9.52e-05,34.34146,43.33268,49.95122,49.95122
Wake,0.00036,9.74049,17.98244,17.48293,8.74146,0.00047,17.6078,25.47512,28.22244,18.73171,0.00059,4.99512,12.11317,9.36585,2.99707,0.00967,0.62439,4.37073,1.74829,0.62439,0.0001,34.34146,49.20195,49.95122,49.95122,0.00036,10.36488,18.10732,17.73268,9.1161,0.00049,17.6078,24.85073,26.84878,14.2361,0.00044,5.61951,12.98732,10.48976,2.99707,0.00312,0.74927,5.74439,2.62244,0.37463,8.65e-05,29.5961,40.83512,49.95122,49.95122,0.00022,10.73951,18.10732,17.85756,10.86439,0.00033,17.73268,25.47512,28.4722,20.72976,0.00024,5.74439,13.36195,11.11415,5.12,0.0023,0.62439,5.24488,2.12293,0.62439,7.38e-05,34.59122,45.95512,49.95122,49.95122
Wake,0.00035,10.11512,17.6078,17.10829,9.61561,0.00047,17.35805,26.47415,28.72195,16.35902,0.00043,5.74439,12.61268,10.36488,2.12293,0.00228,0.99902,5.86927,2.62244,0.62439,0.00011,32.9678,46.45463,49.95122,49.95122,0.00036,10.11512,18.35707,17.85756,10.24,0.00053,18.85659,26.34927,28.09756,16.35902,0.0004,5.99415,12.73756,10.48976,5.86927,0.00144,1.1239,6.49366,3.12195,0.74927,0.00011,28.4722,39.21171,49.82634,49.95122,0.00025,10.36488,18.35707,18.10732,10.24,0.00036,18.2322,26.7239,28.59707,16.35902,0.00025,6.11902,13.23707,10.98927,3.62146,0.00091,0.87415,6.61854,3.12195,0.62439,8.21e-05,32.46829,43.95707,49.95122,49.95122
Wake,0.00033,9.74049,17.6078,17.23317,8.11707,0.00043,17.23317,25.84976,28.09756,17.6078,0.00053,4.74537,12.23805,9.49073,2.99707,0.00436,0.74927,4.99512,2.62244,0.49951,9.42e-05,34.21659,49.57659,49.95122,49.95122,0.00031,10.24,17.73268,17.48293,10.36488,0.00043,17.35805,26.09951,28.09756,17.6078,0.00038,5.74439,13.1122,10.36488,5.74439,0.00149,0.87415,6.11902,3.12195,0.62439,8.09e-05,29.97073,39.71122,49.82634,49.95122,0.00023,10.48976,18.35707,17.98244,10.36488,0.00034,18.2322,25.97463,28.72195,20.48,0.00024,5.86927,13.23707,10.98927,2.99707,0.00175,0.49951,5.74439,2.2478,0.49951,7.72e-05,33.5922,44.83122,49.95122,49.95122
Wake,0.00036,10.24,16.98341,16.35902,10.11512,0.00043,16.35902,25.22537,27.09854,13.73659,0.00038,6.11902,12.86244,11.11415,5.36976,0.00194,0.49951,6.74341,2.62244,0.37463,8.52e-05,33.46732,49.82634,49.95122,49.95122,0.00039,10.24,17.10829,16.60878,9.61561,0.00048,16.98341,25.72488,26.97366,13.61171,0.00041,6.11902,12.73756,10.86439,5.99415,0.001,0.99902,7.3678,3.74634,0.74927,8.09e-05,28.09756,38.96195,49.82634,49.95122,0.00027,10.48976,17.23317,16.73366,9.74049,0.00033,16.73366,24.97561,27.34829,20.97951,0.00025,6.61854,12.86244,11.3639,5.36976,0.00066,1.1239,7.74244,3.49659,0.74927,6.54e-05,33.34244,45.95512,49.95122,49.95122
NREM,0.00034,10.11512,17.85756,17.48293,10.24,0.00047,17.73268,25.35024,27.47317,14.36098,0.00041,6.11902,12.61268,10.61463,5.86927,0.00159,0.74927,6.61854,2.99707,0.74927,0.0001,32.71805,48.07805,49.95122,49.95122,0.00038,9.86537,18.48195,17.73268,6.36878,0.00054,18.85659,25.84976,27.22341,22.85268,0.00048,5.86927,12.11317,10.24,5.61951,0.00138,0.87415,6.74341,3.49659,0.74927,0.0001,27.22341,37.21366,49.82634,49.95122,0.00023,10.61463,18.48195,17.98244,10.73951,0.00034,18.2322,25.84976,28.4722,17.73268,0.00025,5.86927,12.98732,10.98927,5.86927,0.00112,0.74927,6.36878,2.8722,0.62439,7.61e-05,32.71805,43.8322,49.95122,49.95122
NREM,0.00035,10.73951,17.6078,17.10829,9.1161,0.00048,16.85854,25.22537,26.97366,16.60878,0.0004,5.86927,13.23707,11.23902,4.37073,0.00128,0.74927,6.61854,3.37171,0.62439,9.38e-05,31.96878,47.45366,49.95122,49.95122,0.00041,10.48976,19.60585,18.98146,6.49366,0.00064,19.3561,25.84976,27.09854,20.48,0.00051,5.61951,12.98732,10.48976,5.49463,0.00134,0.87415,6.61854,3.74634,0.74927,0.00011,26.7239,35.21561,48.3278,49.95122,0.00023,10.36488,18.10732,17.48293,10.24,0.00032,18.10732,26.22439,28.72195,13.23707,0.00027,5.99415,12.86244,10.86439,5.99415,0.0007,0.99902,6.86829,3.62146,0.74927,7.22e-05,32.09366,44.33171,49.95122,49.95122
NREM,0.00035,9.36585,17.6078,16.98341,9.24098,0.00042,17.35805,26.09951,28.4722,14.98537,0.00052,5.36976,11.3639,9.61561,4.74537,0.00134,0.99902,6.61854,3.87122,0.37463,9.36e-05,33.46732,47.70341,49.95122,49.95122,0.00043,8.99122,17.35805,16.60878,5.61951,0.00047,17.35805,26.34927,27.97268,14.98537,0.00078,5.12,10.61463,8.99122,5.61951,0.00156,1.62341,6.36878,4.49561,0.74927,8.65e-05,29.22146,38.83707,49.82634,49.95122,0.00025,9.74049,17.35805,16.73366,9.86537,0.00031,17.23317,26.47415,28.84683,16.73366,0.00036,5.49463,11.86341,9.74049,5.61951,0.00077,1.49854,6.49366,4.12098,0.74927,6.93e-05,33.09268,43.95707,49.95122,49.95122
NREM,0.0005,10.36488,16.60878,15.85951,7.9922,0.00053,15.48488,24.10146,25.72488,11.3639,0.00077,4.99512,11.98829,10.24,3.74634,0.0029,1.62341,5.86927,3.24683,0.99902,8.67e-05,31.8439,49.70146,49.95122,49.95122,0.00067,9.74049,17.10829,16.10927,7.9922,0.00073,16.10927,24.22634,25.6,13.23707,0.00139,4.37073,11.86341,8.11707,2.99707,0.00549,1.99805,5.36976,3.24683,2.2478,9.54e-05,26.7239,35.71512,49.70146,49.95122,0.00027,9.49073,17.6078,16.85854,8.11707,0.00033,17.73268,26.47415,28.59707,17.23317,0.00047,4.87024,11.3639,9.1161,3.62146,0.0013,1.87317,6.11902,3.74634,0.37463,7.02e-05,31.59415,42.83317,49.95122,49.95122
NREM,0.00072,9.36585,15.98439,15.48488,7.9922,0.00067,15.11024,22.22829,23.22732,15.98439,0.00143,4.24585,11.61366,8.74146,2.8722,0.00574,1.74829,5.24488,3.24683,2.8722,8.22e-05,29.5961,49.70146,49.95122,49.95122,0.0012,8.24195,15.98439,15.11024,6.11902,0.001,14.98537,22.85268,23.72683,13.98634,0.00305,4.37073,10.36488,7.61756,2.8722,0.00781,2.49756,5.61951,3.74634,2.8722,9.71e-05,24.4761,34.09171,47.2039,49.95122,0.00036,9.24098,16.4839,15.98439,8.11707,0.00039,15.98439,24.4761,25.97463,14.61073,0.0005,5.61951,12.11317,9.49073,3.62146,0.00123,1.49854,6.61854,3.74634,0.74927,6.04e-05,29.47122,45.08098,49.95122,49.95122
NREM,0.00069,8.74146,15.23512,14.61073,8.86634,0.00055,14.11122,22.35317,23.10244,13.23707,0.00177,3.87122,10.86439,8.11707,2.74732,0.00821,1.87317,4.74537,3.12195,2.74732,6.81e-05,30.96976,49.82634,49.95122,49.95122,0.00149,6.86829,14.98537,14.2361,7.11805,0.0009,13.98634,21.6039,22.10341,15.23512,0.00565,3.74634,8.61659,6.49366,2.74732,0.02104,2.2478,4.87024,3.49659,2.74732,7.13e-05,23.85171,36.08976,49.82634,49.95122,0.00035,9.24098,16.60878,15.48488,11.48878,0.00034,15.98439,24.35122,25.84976,11.48878,0.0007,4.74537,11.23902,8.74146,2.8722,0.00217,1.99805,5.74439,3.62146,2.74732,5.32e-05,30.09561,47.82829,49.95122,49.95122
NREM,0.00058,8.86634,15.73463,14.86049,10.36488,0.00048,14.73561,22.7278,23.72683,14.86049,0.00125,4.37073,10.86439,8.36683,3.62146,0.0049,1.87317,5.49463,3.24683,1.24878,6.32e-05,30.72,49.82634,49.95122,49.95122,0.00094,6.86829,14.86049,13.98634,5.86927,0.00062,13.73659,22.60293,23.3522,14.11122,0.00302,4.12098,9.61561,6.61854,3.62146,0.00992,2.2478,5.12,3.62146,2.62244,5.71e-05,25.10049,37.71317,49.82634,49.95122,0.00038,9.24098,15.85951,15.36,8.11707,0.00034,15.36,23.97659,25.47512,15.60976,0.00069,4.87024,11.23902,8.99122,4.49561,0.00223,1.37366,5.86927,3.62146,1.1239,5e-05,29.72098,49.70146,49.95122,49.95122
NREM,0.00054,10.24,15.11024,14.48585,8.74146,0.0005,13.73659,22.35317,23.22732,13.1122,0.00089,4.87024,12.4878,9.99024,3.24683,0.00324,1.87317,5.36976,3.24683,1.87317,6.03e-05,29.97073,49.82634,49.95122,49.95122,0.00096,9.74049,14.36098,13.98634,13.1122,0.00079,13.23707,21.10439,21.72878,13.1122,0.00222,3.74634,12.61268,8.11707,3.24683,0.00914,1.99805,4.74537,3.37171,1.87317,5.95e-05,23.85171,37.71317,49.82634,49.95122,0.00044,9.1161,15.36,14.2361,7.3678,0.00037,13.86146,22.85268,24.10146,13.1122,0.00077,4.99512,11.61366,8.99122,4.49561,0.00216,1.62341,6.2439,3.87122,0.62439,4.64e-05,29.5961,49.82634,49.95122,49.95122
NREM,0.00074,10.36488,14.73561,13.98634,11.11415,0.00061,13.1122,21.10439,21.97854,13.1122,0.00148,4.12098,11.98829,9.36585,2.62244,0.00855,1.62341,4.87024,2.8722,1.1239,6.05e-05,28.34732,49.82634,49.95122,49.95122,0.00133,8.86634,13.98634,13.36195,13.1122,0.00092,12.98732,19.98049,20.35512,13.1122,0.00375,3.62146,11.11415,7.24293,2.99707,0.01536,2.12293,4.74537,3.37171,2.62244,5.83e-05,21.85366,37.08878,49.82634,49.95122,0.00043,9.24098,15.36,14.48585,6.61854,0.00036,13.98634,22.85268,23.97659,13.1122,0.00086,4.62049,11.23902,8.86634,3.74634,0.0023,1.74829,5.74439,3.87122,0.49951,4.38e-05,28.84683,49.82634,49.95122,49.95122
NREM,0.00056,9.49073,15.48488,14.61073,6.61854,0.00047,14.11122,21.6039,22.7278,12.23805,0.00112,4.49561,11.61366,8.86634,5.61951,0.00598,1.62341,5.12,2.99707,1.24878,5.47e-05,30.47024,49.82634,49.95122,49.95122,0.00099,8.86634,14.11122,13.73659,6.61854,0.00071,13.23707,20.10537,20.72976,13.73659,0.00231,4.24585,11.23902,8.24195,3.24683,0.00995,1.74829,5.12,3.24683,2.37268,5.02e-05,23.3522,39.21171,49.82634,49.95122,0.00044,9.1161,14.86049,13.86146,9.86537,0.00034,13.36195,22.60293,23.60195,13.36195,0.00079,4.99512,11.23902,9.24098,4.49561,0.00253,1.74829,5.86927,3.62146,0.49951,4.11e-05,31.21951,49.82634,49.95122,49.95122
NREM,0.00107,10.24,13.73659,13.23707,12.11317,0.00079,12.36293,19.98049,20.35512,12.61268,0.00154,5.36976,12.11317,10.73951,2.74732,0.00534,1.74829,5.86927,3.24683,1.24878,6.43e-05,27.22341,49.82634,49.95122,49.95122,0.00135,9.74049,13.61171,13.23707,12.4878,0.00095,12.61268,19.73073,20.10537,12.4878,0.00282,4.24585,12.11317,8.74146,3.37171,0.01011,1.99805,5.49463,3.37171,0.74927,5.78e-05,22.10341,35.59024,49.82634,49.95122,0.00047,9.24098,14.98537,14.36098,12.11317,0.00038,13.73659,21.97854,22.97756,12.11317,0.00087,4.99512,11.86341,8.99122,4.12098,0.00233,1.49854,6.11902,3.9961,0.99902,4.35e-05,28.97171,49.82634,49.95122,49.95122
